product_id,category_id,category_code,brand
5712790,1487580005268456192,,f.o.x
5764655,1487580005411062528,,cnd
4958,1487580009471148032,,runail
5848413,1487580007675986944,,freedecor
5824148,1487580005511725824,,
5773361,1487580005134238464,,runail
5629988,1487580009311764480,,
5807805,1487580005713052416,,ingarden
5588608,1487580008145748992,,roubloff
5335,1487580009605365760,,runail
5755170,1487580009387261952,,
5650294,1487580007835370496,,metzger
5692261,1487580007835370496,,staleks
5798929,1783999068909863680,,zinger
5694628,1487580007835370496,,yoko
3936,1487580005343953664,,entity
5761411,1487580007432717312,,ingarden
5817779,1487580010872045568,,irisk
5832416,1487580009471148032,,
5706778,1487580005268456192,,beautix
5849033,1487580005092295424,,uno
5904369,1487580007675986944,,
5881896,1487580011903844608,,
5742926,1487580006317032448,,yoko
5600449,1487580008145748992,,roubloff
5614842,1487580005411062528,,cnd
5666749,1487580009076883456,,philips
5847872,1487580006317032448,,
5862564,1487580008145748992,,roubloff
5732026,1487580011970953472,furniture.bathroom.bath,domix
5795703,1487580005268456192,,
5859489,1487580005671109376,,masura
5700046,1487580009286598656,,runail
5810157,1487580009445982208,,irisk
5899850,2115334439910245120,,
5862313,1487580007675986944,,freedecor
5772301,1602943681873052416,,grattol
5817700,1487580010821713920,,
5798924,1783999068867920640,,zinger
5695827,1487580010821713920,,ingarden
5590822,1487580006300255232,,strong
5800015,1487580005092295424,,
5746846,2193074740686488320,furniture.bathroom.bath,irisk
72433,1487580011996119296,,skinlite
5693501,1487580009445982208,,
5808510,1487580013522845952,,irisk
5830545,1487580005671109376,,masura
5839671,1487580005671109376,,masura
5859482,1487580005671109376,,masura
5860196,1487580007776650240,,
5830501,1487580005671109376,,masura
5826809,1487580009445982208,,
5904747,1487580007675986944,,
5897920,1783999072332415232,,
5732028,1487580012021285120,,domix
5771114,1487580005511725824,,
5835860,1487580011383750656,,
5809894,1602943681873052416,,grattol
5744424,1487580009445982208,,
5742717,1487580009605365760,,
5744425,1487580009445982208,,
5852392,1487580005713052416,,ingarden
5836528,1487580013522845952,,nagaraku
5819251,1487580005713052416,,ingarden
5819241,1487580005713052416,,ingarden
5788779,1487580013069861120,,italwax
5884577,1487580006350586880,appliances.environment.vacuum,max
5899853,2115334439910245120,,
5884031,1487580008347075584,,
5765554,1487580012021285120,,domix
5884014,1487580008347075584,,
5655060,1487580008145748992,,
5884285,1487580013413794048,,
5844670,1487580007852147712,,bluesky
5752488,1487580005511725824,,
5884071,2115334439910245120,,
5700843,1487580007936033792,,irisk
5884086,1487580005092295424,,
5797799,1638456119066100480,,pole
5567936,1487580005595611904,,
5797800,1638456119066100480,,pole
5839635,1487580005671109376,,masura
5855507,1487580006350586880,appliances.environment.vacuum,max
5869134,1783999064136745216,,cosmoprofi
5904253,1487580007675986944,,
5848387,1752742615205281792,,severina
5884237,1487580007675986944,,
5818467,1487580009445982208,,
5794157,1487580005671109376,,masura
5618215,1487580005595611904,,
5833325,1487580007675986944,,bpw.style
5696895,1487580012021285120,,severina
5833330,1487580007675986944,,bpw.style
5833326,1487580007675986944,,bpw.style
3978,1487580005411062528,,cnd
5764656,1487580005411062528,,cnd
5809616,1487580005595611904,,
5818473,1487580009445982208,,
5740530,1487580005671109376,,masura
5884578,1487580006350586880,appliances.environment.vacuum,max
5818359,1487580013615120640,,igrobeauty
5901627,1487580007675986944,,freedecor
5837618,1487580007675986944,,
5754991,1487580005092295424,,
5786619,1783999068867920640,,smart
5848901,1487580007675986944,,bpw.style
5906118,1487580007675986944,,bpw.style
5816169,1602943681873052416,,grattol
5818477,1487580009445982208,,
5550690,1487580008145748992,,
5852352,1982860263572898048,,
5736365,1487580005713052416,,ingarden
5818468,1487580009445982208,,
5908193,1487580007675986944,,
5841799,1487580009471148032,,
5908186,1487580007675986944,,
5899929,2115334439910245120,,
5685798,1487580009445982208,,irisk
5908219,1487580007675986944,,
5819125,1487580007675986944,,bpw.style
5809910,1602943681873052416,,grattol
5908180,1487580007675986944,,
5904271,1487580007675986944,,
5808174,1487580009445982208,,zinger
5803519,1783999072332415232,,
5900616,1487580007675986944,,freedecor
5550688,1487580008145748992,,
5855089,1487580005553668864,,
5722502,1487580007432717312,,
5817138,1487580008800059392,,masura
5904256,1487580007675986944,,
5799881,1487580010821713920,,
5563754,1487580005595611904,,
5678218,1487580012021285120,,runail
5904251,1487580007675986944,,
5713013,1487580008011531264,,coifin
5906108,1487580007675986944,,bpw.style
5908217,1487580007675986944,,
5651977,1487580009177546752,,
5804374,1487580005461394176,,bluesky
5877488,1487580007675986944,,freedecor
5900636,1487580007675986944,,freedecor
5747361,1487580010821713920,,
5903972,1487580007675986944,,
5894351,1487580005092295424,,
5861279,1487580006317032448,,
5842090,1487580008187692032,,
5842091,1487580008187692032,,
5809912,1602943681873052416,,grattol
5847361,1982860263572898048,,estel
5908214,1487580007675986944,,
5818396,1487580007675986944,,bpw.style
5908228,1487580007675986944,,
5866174,1487580007675986944,,
5861595,1487580008263189504,,lador
5823666,1487580013841613056,,kapous
5908194,1487580007675986944,,
5847364,1982860263572898048,,estel
6537,1487580008347075584,,sophin
5804463,1487580005461394176,,bluesky
5847372,1982860263572898048,,estel
5816574,1487580005553668864,,
5839650,1487580005671109376,,masura
5861597,1487580008246412288,,lador
5747357,1487580010821713920,,
5814046,1487580005092295424,,grattol
5839652,1487580005671109376,,masura
5879293,1487580008800059392,,masura
5717245,1487580008145748992,,
5839656,1487580005671109376,,masura
5885387,1487580007675986944,,bpw.style
5906096,1487580007675986944,,bpw.style
5871014,1487580008800059392,,masura
5907880,1487580007675986944,,
5908188,1487580007675986944,,
5882781,1487580005134238464,,runail
5037,1487580008187692032,,runail
5903984,1487580007675986944,,
5862943,1487580007675986944,,freedecor
5862936,1487580007675986944,,freedecor
5843750,1487580008246412288,,
5813496,1487580005553668864,,
5865799,1487580010821713920,,
5861591,1487580009143992320,,lador
5907846,1487580007675986944,,
5813494,1487580005553668864,,
5907871,1487580007675986944,,
5908185,1487580007675986944,,
5908195,1487580007675986944,,
5859407,1487580005671109376,,masura
5908236,1487580007675986944,,
5840113,1897124478404526592,,runail
5686977,1487580008187692032,,
5867992,1487580008800059392,,masura
5687123,1487580008187692032,,
5649107,1487580005511725824,,
5839658,1487580005671109376,,masura
5795346,1487580006300255232,,strong
5908229,1487580007675986944,,
5850281,1487580006300255232,,marathon
5649154,1487580005511725824,,
5908746,1982860263572898048,,
5800968,1487580005553668864,,
5687131,1487580008187692032,,
5801327,1487580005511725824,,
5655062,1487580008145748992,,
5885380,1487580007675986944,,bpw.style
5900351,1487580007675986944,,freedecor
5802165,1487580009143992320,,kapous
5908197,1487580007675986944,,
5866158,1487580007675986944,,
5746848,2193074740686488320,furniture.bathroom.bath,irisk
5907851,1487580007675986944,,
4645,1487580006317032448,,
5853695,1487580005671109376,,masura
5907856,1487580007675986944,,
5808300,1487580005511725824,,
5859419,1487580005671109376,,masura
5838935,1487580005713052416,,ingarden
5862274,1487580007675986944,,freedecor
5908747,1982860263572898048,,
4751,1487580006317032448,,
5853696,1487580005671109376,,masura
5801308,1487580005511725824,,
5802649,1487580005754995456,,
5809911,1602943681873052416,,grattol
5838938,1487580005713052416,,ingarden
5853697,1487580005671109376,,masura
5809857,1783999064136745216,,grattol
5790687,1487580009445982208,,nitrimax
5687130,1487580008187692032,,
5800789,1487580005553668864,,
5887055,1487580010100293632,,jessnail
5265,1487580010125459456,,
5894906,1487580010100293632,,jessnail
5879286,1487580008800059392,,masura
5906100,1487580007675986944,,bpw.style
5894907,1487580010100293632,,jessnail
5276,1487580010100293632,,runail
5907840,1487580007675986944,,
5894905,1487580010100293632,,jessnail
5794067,1487580005511725824,,
5896413,1487580009076883456,,jessnail
5894913,1487580010100293632,,jessnail
5889904,1487580007675986944,,
5322,1487580010100293632,,runail
5862295,1487580007675986944,,freedecor
5894910,1487580010100293632,,jessnail
5894920,1487580010100293632,,jessnail
5686978,1487580008187692032,,
5894916,1487580010100293632,,jessnail
5894908,1487580010100293632,,jessnail
5700088,1487580011677351936,,
5625247,1487580006434472960,,jas
5794066,1487580005511725824,,
5896420,1487580006300255232,,jessnail
5894918,1487580010100293632,,jessnail
5906102,1487580007675986944,,bpw.style
5894917,1487580010100293632,,jessnail
5900361,1487580007675986944,,freedecor
5687124,1487580008187692032,,
5894911,1487580010100293632,,jessnail
5664161,1487580009445982208,,
5896180,1487580004916134656,,
5794058,1487580005511725824,,
5908210,1487580007675986944,,
5809869,1487580005268456192,,grattol
5904791,1487580007675986944,,
5884258,1487580007675986944,,de.lux
5899363,1487580007675986944,,
5907878,1487580007675986944,,
5714919,1487580005511725824,,
5839651,1487580005671109376,,masura
34767,1487580006317032448,,runail
5820774,1487580006317032448,,
5809545,1487580008112194560,,irisk
34768,1487580006317032448,,runail
83872,1487580009445982208,,
5714912,1487580005511725824,,
